1,6222
2,7111
3,8667
4,6444
5,7556
6,9556
7,4889
8,7778
9,8889
10,8222
11,4444
12,5111
13,4889
14,7333
15,5333
16,5778
17,8222
18,6222
19,8222
20,5556
21,5111
22,5778
23,4889
24,7556
25,6667
26,5333
27,4222
28,3778
29,6000
30,5333
31,7333
32,7556
33,10000
34,8444
35,6889
36,6889
37,7111
38,6000
39,6444
40,7111
41,6667
42,7111
43,4000
44,7778
45,4222
46,5333
47,6444
48,3111
49,13333
50,5333
51,10444
52,6667
53,7111
54,4889
55,6444
56,6222
57,5111
58,6000
59,6889
60,8000
61,3556
62,5778
63,7111
64,6222
65,6000
66,7333
67,7556
68,5333
69,6000
70,5111
71,5111
72,4444
73,6222
74,3556
75,2889
76,4444
77,6444
78,6000
79,3778
80,4000
81,3556
82,2889
83,2667
84,6000
85,3778
86,4000
87,3778
88,4444
89,5111
90,4222
91,5556
92,2667
93,4889
94,6444
95,5556
96,3778
97,4444
98,4000
99,4444
100,3111
101,6444
102,3556
103,3111
104,4667
105,4889
106,5556
107,5111
108,6000
109,5556
110,3778
111,7333
112,5333
113,6000
114,7111
115,6667
116,7111
117,10889
118,6667
119,6667
120,4222
121,6000
122,7556
123,6667
124,8000
125,3111
126,9556
127,7556
128,9111
129,9333
130,3333
131,6667
132,7111
133,7778
134,6222
135,5778
136,8222
137,4889
138,5111
139,5111
140,4000
141,6222
142,7333
143,6222
144,6222
145,6444
146,9556
147,6667
148,5556
149,8667
150,4000
151,6667
152,3556
153,6667
154,6222
155,8889
156,6667
157,7333
158,4444
159,5333
160,5333
161,8000
162,5556
163,8222
164,2667
165,4000
166,7333
167,7111
168,5778
169,6222
170,3333
171,6667
172,7556
173,3778
174,4222
175,5333
176,5778
177,6889
178,6667
179,8000
180,6444
181,6667
182,5556
183,4000
184,4667
185,4444
186,5333
187,6222
188,3556
189,4667
190,3556
191,3556
192,4000
193,5556
194,4444
195,5778
196,5556
197,4667
198,4444
199,6222
200,6222
201,5333
202,6667
203,4444
204,4222
205,6000
206,3111
207,2889
208,4889
209,5778
210,5778
211,3111
212,3778
213,5778
214,3111
215,4222
216,4889
217,3333
218,6667
219,6667
220,3333
221,5556
222,6000
223,8667
224,3111
225,12889
226,7778
227,7556
228,7333
229,6000
230,4889
231,7111
232,6222
233,6667
234,5333
235,5333
236,5556
237,4222
238,5333
239,3778
240,5333
241,5333
242,5778
243,5556
244,5778
245,5556
246,6667
247,5778
248,5778
249,7333
250,7556
251,5333
252,8889
253,8444
254,4889
255,4444
256,5111
257,5556
258,6222
259,7111
260,10000
261,6000
262,8444
263,8444
264,6444
265,7778
266,10000
267,5778
268,8000
269,7111
270,8000
271,12667
272,12000
273,3333
274,2222
275,11333
276,8222
277,14000
278,6222
279,1556
280,6000
281,9333
282,15333
283,4667
284,10889
285,7333
286,11778
287,6667
288,10000
289,8222
290,6889
291,7333
292,8222
293,6667
294,9778
295,4889
296,8444
297,5556
298,10889
299,7778
300,8000
301,7556
302,6000
303,6000
304,5333
305,4444
306,6222
307,6889
308,7333
309,4667
310,8222
311,9556
312,8222
313,6222
314,8222
315,7556
316,10889
317,8000
318,11111
319,7111
320,7778
321,4444
322,7556
323,6000
324,7111
325,10000
326,8222
327,8889
328,5333
329,10889
330,4889
